,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Natal,40,BR,1592242354,62,-5.79,-35.21,87.8,10.29
1,Hilo,1,US,1592242585,83,19.73,-155.09,72.0,3.36
2,Bluff,32,NZ,1592242586,90,-46.6,168.33,49.01,9.84
3,Salalah,40,OM,1592242343,94,17.02,54.09,84.2,6.93
4,Mataura,5,NZ,1592242589,90,-46.19,168.86,43.27,3.89
5,Cape Town,0,ZA,1592242618,76,-33.93,18.42,59.0,10.29
6,Romilly-sur-Seine,11,FR,1592242651,60,48.51,3.73,69.8,11.41
7,Yar-Sale,93,RU,1592242653,54,66.83,70.83,57.15,16.64
8,Kajaani,98,FI,1592242655,49,64.23,27.73,73.4,6.93
9,Albany,19,US,1592242516,31,42.6,-73.97,73.99,2.53
10,Labuhan,57,ID,1592242658,86,-6.88,112.21,79.61,5.93
11,Mizdah,0,LY,1592242659,35,31.45,12.98,73.81,17.96
12,Saskylakh,74,RU,1592242661,62,71.92,114.08,53.22,10.07
13,Airai,23,TL,1592242662,100,-8.93,125.41,58.41,3.96
14,Huarmey,87,PE,1592242663,66,-10.07,-78.15,70.27,13.22
15,Caravelas,27,BR,1592242665,67,-17.71,-39.25,78.4,12.21
16,Saint Paul Harbor,1,US,1592242666,71,57.79,-152.41,51.8,5.82
17,Nagato,75,JP,1592242667,78,34.38,131.2,73.4,10.29
18,Thompson,40,CA,1592242581,50,55.74,-97.86,75.2,8.05
19,Udachny,26,RU,1592242670,61,66.42,112.4,46.4,8.95
20,Port Moresby,20,PG,1592242672,94,-9.44,147.18,77.0,5.82
21,Mar del Plata,62,AR,1592242606,54,-38.0,-57.56,57.99,13.87
22,Buchanan,75,LR,1592242674,88,5.88,-10.05,80.6,9.17
23,Vardø,20,NO,1592242676,57,70.37,31.11,48.2,31.09
24,Rikitea,53,PF,1592242677,82,-23.12,-134.97,75.45,15.48
25,Kavaratti,100,IN,1592242678,79,10.57,72.64,84.56,20.87
26,Sadon,20,RU,1592242680,64,42.85,44.0,77.0,4.47
27,Pemberton,90,CA,1592242681,81,50.32,-122.8,50.0,3.89
28,Puerto Ayora,40,EC,1592242682,69,-0.74,-90.35,78.8,13.87
29,Mahébourg,75,MU,1592242674,78,-20.41,57.7,71.6,16.11
30,Anchorage,1,US,1592242433,54,61.22,-149.9,59.0,8.05
31,Carnarvon,0,AU,1592242686,27,-24.87,113.63,66.7,17.87
32,Khorixas,0,NA,1592242688,27,-20.37,14.97,64.78,10.29
33,George Town,20,MY,1592242647,88,5.41,100.34,84.2,4.7
34,Pisco,75,PE,1592242534,77,-13.7,-76.22,66.2,6.93
35,Hihyā,0,EG,1592242692,37,30.67,31.59,86.0,17.22
36,Atuona,36,PF,1592242693,74,-9.8,-139.03,80.04,12.46
37,Nemuro,98,JP,1592242694,96,43.32,145.57,53.19,12.21
38,Ribeira Brava,75,PT,1592242696,83,32.65,-17.07,71.6,11.41
39,Hobart,40,AU,1592242446,58,-42.88,147.33,57.0,9.17
40,Maragogi,41,BR,1592242698,86,-9.01,-35.22,78.53,12.53
41,Tuktoyaktuk,40,CA,1592242700,48,69.45,-133.04,60.8,10.29
42,Dikson,99,RU,1592242667,91,73.51,80.55,33.85,20.67
43,Jamestown,90,US,1592242702,52,42.1,-79.24,66.99,3.36
44,Vaini,20,TO,1592242704,73,-21.2,-175.2,69.8,12.75
45,Tura,100,IN,1592242453,97,25.52,90.22,75.81,4.85
46,Khatanga,100,RU,1592242706,78,71.97,102.5,45.84,19.28
47,Port Alfred,62,ZA,1592242708,94,-33.59,26.89,57.0,1.99
48,Ushuaia,75,AR,1592242709,80,-54.8,-68.3,39.2,8.05
49,São Filipe,1,CV,1592242710,72,14.9,-24.5,79.0,9.66
50,Bengkulu,67,ID,1592242682,81,-3.8,102.27,78.3,4.43
51,Lázaro Cárdenas,5,MX,1592242713,56,17.96,-102.2,87.75,7.49
52,Pacific Grove,1,US,1592242474,60,36.62,-121.92,75.99,8.05
53,Ribeira Grande,40,PT,1592242716,68,38.52,-28.7,66.2,10.29
54,Pasni,55,PK,1592242717,86,25.26,63.47,84.25,9.46
55,Arraial do Cabo,40,BR,1592242720,69,-22.97,-42.03,75.2,6.93
56,Barrow,1,US,1592242492,80,71.29,-156.79,39.2,8.05
57,Viedma,39,AR,1592242722,38,-40.81,-63.0,56.39,14.9
58,Glendive,1,US,1592242724,28,47.11,-104.71,70.0,11.41
59,Busselton,100,AU,1592242725,77,-33.65,115.33,57.0,5.48
60,Kodinsk,17,RU,1592242726,79,58.69,99.18,45.36,2.15
61,Vila Franca do Campo,40,PT,1592242728,68,37.72,-25.43,66.2,12.75
62,Nikolskoye,31,RU,1592242729,53,59.7,30.79,77.0,6.71
63,Zhalantun,12,CN,1592242730,61,48.0,122.72,61.23,6.02
64,Avarua,75,CK,1592242732,68,-21.21,-159.78,69.8,10.29
65,Jinxiang,32,CN,1592242734,83,22.86,115.7,80.96,5.35
66,Beloha,3,MG,1592242736,93,-25.17,45.05,62.82,9.28
67,Artyom,9,AZ,1592242737,61,40.47,50.33,77.0,9.17
68,Geraldton,0,AU,1592242738,87,-28.77,114.6,50.0,3.36
69,Butaritari,18,KI,1592242740,74,3.07,172.79,82.83,8.21
70,Mīzan Teferī,92,ET,1592242741,92,6.98,35.58,63.88,0.54
71,Nantucket,75,US,1592242742,72,41.28,-70.1,66.0,21.92
72,Laguna,1,US,1592242744,49,38.42,-121.42,75.0,5.82
73,Kavieng,100,PG,1592242637,78,-2.57,150.8,82.11,9.86
74,Souillac,75,MU,1592242746,78,-20.52,57.52,71.6,16.11
75,Lagoa,87,PT,1592242749,87,39.05,-27.98,64.24,23.96
76,Ostrovnoy,83,RU,1592242750,72,68.05,39.51,46.17,7.27
77,Mīrābād,0,AF,1592242752,8,30.44,61.84,96.48,9.13
78,Kahului,20,US,1592242753,65,20.89,-156.47,78.8,16.11
79,Oyama,40,JP,1592242754,88,36.3,139.8,79.0,8.05
80,Channel-Port aux Basques,61,CA,1592242756,58,47.57,-59.14,52.2,10.02
81,Punta Arenas,40,CL,1592242458,81,-53.15,-70.92,42.8,5.82
82,Saint Anthony,1,US,1592242758,44,45.02,-93.22,78.8,13.87
83,Longyearbyen,75,SJ,1592242762,59,78.22,15.64,37.4,16.11
84,Keti Bandar,100,PK,1592242763,83,24.14,67.45,85.33,16.53
85,Araouane,0,ML,1592242765,6,18.9,-3.53,112.05,15.84
86,Loreto,0,MX,1592242766,30,22.27,-101.97,75.13,6.73
87,New Norfolk,96,AU,1592242767,79,-42.78,147.06,57.0,1.99
88,Taoudenni,0,ML,1592242769,7,22.68,-3.98,110.84,17.54
